stock_id,Year,site_id,Common,num_of_year,estimated_weight_kg,years_with_data_count,sampling_method,total_effort_1_units,mean_cpue_from_sum,gdd_wtr_5c,tri_harvest ,stocking_weight
120018495Northern Pike,1980,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2585.423821,0,0
120018495Northern Pike,1981,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,3.166666667,2666.130512,0,0
120018495Northern Pike,1982,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2541.830138,0,0
120018495Northern Pike,1983,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2659.372091,0,0
120018495Northern Pike,1984,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,22.5,2510.467961,0,0
120018495Northern Pike,1985,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2439.595015,0,0
120018495Northern Pike,1986,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2604.276414,0,0
120018495Northern Pike,1987,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2782.057464,0,0
120018495Northern Pike,1988,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2677.093,0,0
120018495Northern Pike,1989,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,17.75,2496.816078,0,0
120018495Northern Pike,1990,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2572.206517,0,0
120018495Northern Pike,1991,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2719.845467,0,0
120018495Northern Pike,1992,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2373.706439,0,0
120018495Northern Pike,1993,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2299.376249,0,0
120018495Northern Pike,1994,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,2.75,2666.766203,0,0
120018495Northern Pike,1995,120018495,Northern Pike,2,1719.881217,9,Standard gill net sets,net-night,NA,2607.596023,0,0
120018495Northern Pike,1996,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2475.464321,0,0
120018495Northern Pike,1997,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2519.183641,0,0
120018495Northern Pike,1998,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2910.754608,0,0
120018495Northern Pike,1999,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2609.88129,0,0
120018495Northern Pike,2000,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,11.75,2626.518083,0,0
120018495Northern Pike,2001,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2707.490413,0,0
120018495Northern Pike,2002,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2565.156211,0,0
120018495Northern Pike,2003,120018495,Northern Pike,2,1197.565004,9,Standard gill net sets,net-night,NA,2655.923442,0,0
120018495Northern Pike,2004,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,20.91666667,2431.154398,0,0
120018495Northern Pike,2005,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2750.674022,0,0
120018495Northern Pike,2006,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2702.444249,0,0
120018495Northern Pike,2007,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2798.489253,0,0
120018495Northern Pike,2008,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2467.297254,0,0
120018495Northern Pike,2009,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,5.916666667,2359.373147,0,0
120018495Northern Pike,2010,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2692.472109,0,0
120018495Northern Pike,2011,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2597.737686,0,0
120018495Northern Pike,2012,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2651.481885,0,0
120018495Northern Pike,2013,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2604.834184,0,0
120018495Northern Pike,2014,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,8.714285714,2482.923489,0,0
120018495Northern Pike,2015,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2724.690331,0,0
120018495Northern Pike,2016,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2824.503731,0,0
120018495Northern Pike,2017,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2647.154559,0,0
120018495Northern Pike,2018,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2776.179958,0,0
120018495Northern Pike,2019,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,13.66666667,2543.882714,0,0
120018495Northern Pike,2020,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2632.394876,0,0
120018495Northern Pike,2021,120018495,Northern Pike,2,NA,9,Standard gill net sets,net-night,NA,2824.637065,NA,NA
120018495Bluegill,1980,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2585.423821,0,0
120018495Bluegill,1981,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,9.5,2666.130512,0,0
120018495Bluegill,1982,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2541.830138,0,0
120018495Bluegill,1983,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2659.372091,0,0
120018495Bluegill,1984,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,10.625,2510.467961,0,0
120018495Bluegill,1985,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2439.595015,0,0
120018495Bluegill,1986,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2604.276414,0,0
120018495Bluegill,1987,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2782.057464,0,0
120018495Bluegill,1988,120018495,Bluegill,2,NA,9,Standard gill net sets,net-night,NA,2677.093,0,0
