"stock_id","P_terminal","P_no_fishing","P_no_fishing_adjusted","P_no_env","P_one_env","N_divergent","max_f","min_f"
"69886444Smallmouth Bass",0.592833282670724,0.780089631622247,0.704392499787263,0.653749162836336,0.581561691660358,288,1.89824272045258,0.191352731491128
"69886444Smallmouth Bass",0.730201070657475,0.793339863571993,0.817455835235364,0.71771542468623,0.756909011410056,1532,2.14255028085222,0.167119939829999
"69886444Smallmouth Bass",0.0894818157031069,0.190704876055762,0.194132838264232,0.0869729221086692,0.0847808537672767,1,2.49708334829381,0.0558742307063853
"69886444Smallmouth Bass",0.207034816885847,0.318303086681614,0.342442743733055,0.193178459558164,0.208493943543644,1768,2.30941503541013,0.480337519210065
"69886444Smallmouth Bass",0.274386627032706,0.401641467849943,0.422831724848279,0.255479813642734,0.226067192227421,17,3.61397084108471,0.118785400241045
"69886444Smallmouth Bass",0.107657136949481,0.136359941937458,0.155287154178378,0.105697244963885,0.10507449728189,1177,3.15652937076156,0.107131042847207
"69886444Smallmouth Bass",0.120301025413171,1.13578640562233,1.1359176995751,0.12046901908144,0.125269440444093,1212,1.57820873625642,0.118481708056934
"69886444Smallmouth Bass",0.013197064067802,0.0353027912156077,0.0291738486031846,0.0415022285808192,0.274590100419649,1434,3.08717026505178,0.117599847301644
"69886444Smallmouth Bass",0.0041012231054057,0.00951337769615756,0.00850344808041594,0.00637419544088659,0.0565178865592123,1042,1.6923860934394,0.717668983574532
"69886444Smallmouth Bass",0.222833625927882,0.494552107795993,0.548916687072288,0.194565334407598,0.278884272008081,317,2.14043665370612,0.427492348320039
"69886444Smallmouth Bass",0.204427905856676,0.221256371888334,0.204568841863939,0.244124507637276,0.545096447500587,118,2.73841693031362,0.117188571478141
"69886444Smallmouth Bass",0.211319641817305,0.837075146482679,0.906217148721934,0.218441721541893,1.78400795072699,62,2.37146218669637,0.320062656644454
"69886444Smallmouth Bass",0.366403713871208,0.787394641608212,0.774713569876711,0.384119276786585,0.450856639240179,258,2.02922618071445,0.139186757800604
