"stock_id","P_terminal","P_no_fishing","P_no_fishing_adjusted","P_no_env","P_one_env","N_divergent","max_f","min_f"
"126212479Walleye",0.0769576773195508,0.165316740755624,0.157281257807735,0.0922563256241545,0.0872222330912962,1774,1.64980638216068,0.505479558605722
"126212479Walleye",0.110304970431508,0.246110439320205,0.230316904252108,0.134484069556259,0.12708985269657,125,2.52497605484863,0.1514567395973
"126212479Walleye",0.171361805780875,0.424950154611024,0.419082129906808,0.17971206348244,0.177255998239358,28,2.14325291659083,0.420508472115295
"126212479Walleye",0.373965837944884,0.515846234951763,0.671679144637313,0.2886858726488,0.280993308298635,134,2.4196188404079,0.0502204975891957
"126212479Walleye",0.334906429941892,0.486540985858751,0.457849880728835,0.397857858338524,0.410179228616868,218,2.15889618517529,0.038337713994775
"126212479Walleye",0.10720907408735,0.729743156994457,0.727284930843074,0.119214231414403,0.122190180708668,51,2.20241776206377,0.267236207613417
"126212479Walleye",0.542181061571681,0.964933318858074,0.939851913658276,0.576325247226073,0.581419411025965,144,2.42855814219206,0.0483931080196667
"126212479Walleye",0.755444862353361,0.815619536970777,0.821262386570854,0.7501443269591,0.74772417282487,31,3.11576124518155,0.0941749785739722
"126212479Walleye",0.143060259412249,0.184009955342924,0.181490601658452,0.145800780359228,0.147198578784935,1,2.3339544726732,0.0543018054692447
"126212479Walleye",0.567453374346246,0.74349250918815,0.730544620948061,0.585484256449035,0.596271124707314,315,2.48171501932651,0.0758050250524195
"126212479Walleye",0.0970928557687636,0.180176235596323,0.179513152450232,0.097874950890129,0.098294347328379,0,2.12288358458547,0.0451307758397231
"126212479Walleye",0.16990685689662,0.324779367209122,0.325939761199752,0.173556687265704,0.174062382243851,2089,1.4871793708285,0.675537823528034
"126212479Walleye",0.127076098350976,0.219839097055311,0.202351126416073,0.175776119351286,0.182454804161207,123,2.14140411020448,0.188831802108014
"126212479Walleye",0.39415155365037,1.11355168005999,1.39405096857853,0.26783425630134,0.261267901970778,193,2.97195778660025,0.151522442873196
"126212479Walleye",0.183563271790825,0.300733852790699,0.328436698089813,0.174537940179823,0.174272001808552,2057,2.25524902824192,0.057080467576841
"126212479Walleye",0.116721866331577,0.18067054623508,0.209720482071623,0.128467658898707,0.132239137805482,1738,2.18236014909351,0.224586463539184
"126212479Walleye",0.0712019297062228,0.119749905146763,0.131169301067919,0.0656858561140849,0.0654169789366787,0,1.94961044127534,0.146255728626583
"126212479Walleye",0.426855059145388,0.82692030558501,0.855300263876334,0.436685826844127,0.440915746079159,266,2.0090782629668,0.0711483572935105
"126212479Walleye",0.233926739199751,0.461854302772566,0.444696068829228,0.27738659530919,0.288318912168488,428,2.93740221873028,0.0240342094479158
"126212479Walleye",0.428203296082379,0.551111112793445,1.02702052680992,0.289094457843048,0.277611029305956,4,2.8243593547589,0.312146644054384
"126212479Walleye",0.363661739527543,0.828399962397398,-6.08443076002103,0.576432184725859,0.579381136598139,99,5.48989638478082,0.0139078289538818
"126212479Walleye",0.0905406620925391,0.184467374688281,0.177644949688414,0.104138401272326,0.107410955453428,19,1.82772909048265,0.249917551676002
"126212479Walleye",0.293939879703365,0.415161901736037,0.413588259021276,0.295608858506115,0.29214039858867,22,2.89518773578962,0.228226015948277
"126212479Walleye",0.208655946693436,0.235116776268943,0.232618759142454,0.211324009445927,0.205800797603677,0,1.68779538742969,0.106384734833472
"126212479Walleye",0.0646364049540786,0.134149278995886,0.132961042788808,0.0659018411696194,0.0632780009331063,3,1.94925348354795,0.16103784347463
"126212479Walleye",0.0528270035039978,0.108627470852483,0.106583495901706,0.0550609953864159,0.0504946271271297,5,3.35711889166474,0.114735610291243
"126212479Walleye",0.0958545886745788,0.156060865746037,0.155800341168649,0.0961277059962925,0.0955564305162937,15,3.41330562701084,0.120063802943538
"126212479Walleye",0.392560034723757,0.578765976046996,0.578426840204969,0.392933564110128,0.392173373724028,3,1.59899511980569,0.280682181065356
"126212479Walleye",0.438548655492741,0.6127655656391,0.754498741559134,0.353648026295952,0.414960546062836,60,2.33763354052219,0.177137606767179
"126212479Walleye",0.201283147614708,0.307925946056218,0.309810835183059,0.206938480213259,0.201916254835779,1706,2.2285435225737,0.347133982283952
"126212479Walleye",1.36703454428848,1.4354786446279,2.01353451778671,1.0334795382598,0.913241739939398,365,2.54938009079647,0.0420536434863979
"126212479Walleye",1.04174813489952,1.33704014339865,1.56331376124267,0.871405554205414,0.997888904371156,336,3.05399663204143,0.249097616691765
"126212479Walleye",0.021729047774128,0.0334284078800605,0.031289962070859,0.0320697024387493,0.0521883507449275,1740,1.9994490153653,0.329980837276143
